epoch,time,state
1,1382488701.99,168
2,1382488706.01,111
2,1382488718.3,149
2,1382488718.31,130
3,1382488734.54,165
3,1382488734.55,147
4,1382488750.59,147
5,1382488762.74,425
6,1382488763.53,286
6,1382488768.45,238
6,1382488780.87,426
6,1382488780.88,356
6,1382488780.88,305
7,1382488793.34,280
8,1382488797.36,318
8,1382488809.41,318
8,1382488813.43,460
9,1382488817.45,460
9,1382488827.59,359
10,1382488827.59,338
10,1382488839.61,450
11,1382488840.3,394
11,1382488852.32,443
11,1382488856.33,443
12,1382488856.34,418
12,1382488868.63,418
12,1382488872.91,458
13,1382488887.94,368
13,1382488887.95,393
14,1382488902.73,405
15,1382488902.73,411
15,1382488917.76,408
15,1382488917.77,344
16,1382488928.05,422
16,1382488929.9,415
16,1382488933.91,449
17,1382488944.85,375
17,1382488945.94,395
17,1382488949.96,395
18,1382488961.99,450
19,1382488962.0,422
19,1382488966.01,436
19,1382488974.59,429
19,1382488978.6,376
20,1382488987.54,402
20,1382488989.77,454
20,1382488992.47,401
20,1382488996.48,401
21,1382489004.51,401
21,1382489008.88,427
22,1382489023.94,447
22,1382489023.94,424
23,1382489038.99,412
24,1382489047.65,385
24,1382489050.64,393
24,1382489052.19,439
24,1382489056.2,402
25,1382489064.22,397
26,1382489068.25,397
26,1382489068.38,442
26,1382489083.29,419
26,1382489083.29,408
27,1382489098.14,378
28,1382489098.15,421
28,1382489098.15,420
28,1382489113.2,420
29,1382489128.28,402
30,1382489128.28,411
30,1382489143.31,415
30,1382489143.32,408
31,1382489158.35,393
32,1382489158.36,406
32,1382489158.36,445
32,1382489173.4,432
33,1382489188.45,401
33,1382489188.45,410
34,1382489197.07,415
34,1382489203.48,400
35,1382489213.78,407
35,1382489217.8,407
36,1382489233.56,407
37,1382489247.54,440
38,1382489247.55,423
38,1382489262.96,442
38,1382489262.97,432
39,1382489278.47,429
39,1382489278.48,395
40,1382489293.51,412
41,1382489293.51,421
41,1382489308.55,416
42,1382489308.55,414
42,1382489308.55,397
42,1382489322.82,431
43,1382489322.82,423
43,1382489334.86,427
44,1382489334.86,425
44,1382489334.89,399
44,1382489353.9,412
45,1382489353.9,418
45,1382489367.03,402
46,1382489367.04,407
46,1382489383.07,407
47,1382489398.0,436
47,1382489398.0,421
47,1382489398.0,409
48,1382489410.04,431
48,1382489410.04,426
49,1382489422.23,426
50,1382489422.26,428
50,1382489426.26,427
50,1382489438.3,427
50,1382489439.47,401
50,1382489443.48,414
51,1382489452.25,414
51,1382489456.27,432
52,1382489468.87,423
52,1382489472.88,435
53,1382489487.94,435
53,1382489487.94,429
53,1382489487.95,432
54,1382489502.98,427
54,1382489502.99,438
54,1382489502.99,409
55,1382489518.01,416
56,1382489518.01,419
56,1382489530.89,436
57,1382489530.9,413
57,1382489530.9,414
57,1382489546.2,406
58,1382489546.2,402
58,1382489546.93,408
58,1382489561.98,408
58,1382489562.23,407
59,1382489574.55,407
59,1382489578.57,407
60,1382489587.43,407
60,1382489593.38,400
61,1382489603.65,403
61,1382489603.73,423
61,1382489608.55,411
62,1382489622.71,407
62,1382489622.71,405
63,1382489634.74,406
63,1382489638.75,396
64,1382489650.8,422
65,1382489650.8,414
65,1382489650.82,405
65,1382489663.63,397
66,1382489667.63,405
66,1382489683.49,405
67,1382489683.49,423
67,1382489683.49,414
67,1382489683.68,401
67,1382489695.73,422
68,1382489695.74,413
68,1382489708.67,422
69,1382489709.5,404
69,1382489711.79,408
69,1382489722.39,401
69,1382489723.82,404
69,1382489724.72,420
69,1382489728.74,407
70,1382489742.88,405
70,1382489742.88,404
71,1382489752.99,420
71,1382489757.01,420
72,1382489758.93,412
72,1382489773.97,402
72,1382489773.98,407
73,1382489782.47,408
73,1382489783.84,418
73,1382489787.84,406
74,1382489798.54,407
74,1382489803.24,416
75,1382489818.08,403
76,1382489818.08,405
76,1382489832.63,406
76,1382489832.63,406
76,1382489832.63,419
77,1382489842.51,406
77,1382489846.53,406
78,1382489850.54,406
78,1382489858.56,421
79,1382489858.57,413
79,1382489863.16,408
79,1382489878.22,406
79,1382489878.22,409
79,1382489878.22,408
80,1382489892.67,410
80,1382489892.67,411
81,1382489892.77,420
81,1382489905.01,426
82,1382489905.67,418
82,1382489917.69,410
83,1382489921.71,414
83,1382489924.35,409
83,1382489934.2,411
83,1382489939.13,423
84,1382489953.74,426
84,1382489953.74,418
85,1382489966.71,425
85,1382489966.71,418
85,1382489966.71,407
86,1382489982.11,404
86,1382489982.11,411
87,1382489994.15,410
88,1382489998.17,410
88,1382490010.19,418
88,1382490010.21,414
89,1382490029.25,414
90,1382490044.3,414
91,1382490057.1,420
92,1382490057.11,417
92,1382490069.15,417
92,1382490073.16,405
93,1382490088.1,401
93,1382490088.1,412
93,1382490088.1,414
94,1382490103.12,414
94,1382490103.12,414
95,1382490115.15,419
96,1382490115.16,416
96,1382490115.95,406
96,1382490119.96,412
96,1382490127.98,414
97,1382490128.67,405
97,1382490132.69,409
97,1382490132.7,410
97,1382490145.29,405
98,1382490145.49,407
98,1382490149.52,406
98,1382490158.06,406
99,1382490158.36,406
99,1382490162.38,406
99,1382490175.31,415
99,1382490175.31,410
