epoch,time,state
1,1382475526.99,274
2,1382475542.16,427
3,1382475542.16,503
3,1382475558.21,485
4,1382475562.23,485
4,1382475571.12,489
5,1382475576.58,492
5,1382475588.63,493
6,1382475604.66,483
7,1382475619.71,480
8,1382475631.76,477
10,1382475662.84,446
11,1382475667.82,454
11,1382475675.85,459
12,1382475694.92,459
14,1382475722.03,455
15,1382475739.06,452
16,1382475751.74,455
17,1382475764.03,449
18,1382475784.12,455
19,1382475796.35,449
20,1382475809.98,447
20,1382475813.99,447
21,1382475826.04,455
22,1382475845.3,451
23,1382475854.07,449
24,1382475874.13,451
25,1382475886.97,454
26,1382475903.77,457
27,1382475916.66,461
28,1382475931.24,458
28,1382475935.25,459
29,1382475944.1,459
30,1382475960.14,458
31,1382475977.15,460
32,1382475993.22,459
33,1382476005.25,459
34,1382476013.28,461
34,1382476024.3,460
35,1382476036.35,461
36,1382476055.39,461
37,1382476064.23,461
38,1382476082.6,460
38,1382476086.64,460
39,1382476099.49,460
40,1382476113.71,460
41,1382476125.75,460
42,1382476141.8,461
43,1382476154.86,461
43,1382476158.87,463
44,1382476171.76,462
45,1382476187.8,462
46,1382476199.84,462
47,1382476215.88,462
48,1382476231.92,464
49,1382476247.96,463
50,1382476260.36,462
51,1382476279.41,463
51,1382476279.41,463
52,1382476291.8,464
53,1382476310.13,464
53,1382476310.13,465
54,1382476325.17,465
55,1382476337.2,464
56,1382476353.24,464
57,1382476370.68,464
58,1382476383.67,464
60,1382476414.75,464
61,1382476429.79,464
62,1382476445.83,464
63,1382476457.85,463
64,1382476473.92,463
65,1382476485.98,463
66,1382476502.02,463
67,1382476519.55,463
68,1382476531.59,463
69,1382476547.63,463
70,1382476559.66,463
71,1382476576.58,463
72,1382476592.62,464
73,1382476605.34,463
74,1382476621.41,463
76,1382476652.49,463
77,1382476668.54,464
78,1382476684.57,463
79,1382476696.61,463
80,1382476712.91,463
81,1382476724.95,463
82,1382476726.96,463
82,1382476739.78,463
83,1382476759.83,463
84,1382476774.89,463
85,1382476774.89,463
85,1382476789.93,463
86,1382476789.94,463
86,1382476804.95,463
87,1382476820.2,463
90,1382476865.2,463
91,1382476874.1,463
92,1382476875.09,463
92,1382476892.42,463
93,1382476908.46,463
94,1382476921.43,463
95,1382476940.47,463
96,1382476940.48,463
96,1382476955.32,463
98,1382476983.07,463
99,1382476999.11,463
