epoch,time,state
1,1383688021.07,698.25
2,1383688037.09,572.8046875
3,1383688053.96,604.224143982
4,1383688070.0,587.020900607
5,1383688086.05,594.009424127
6,1383688098.94,593.403460884
7,1383688115.01,584.608882189
8,1383688127.05,584.669574966
9,1383688143.11,601.24817147
10,1383688159.15,559.902222746
11,1383688171.3,579.908775865
13,1383688206.43,584.865690978
15,1383688233.51,594.220872148
16,1383688249.55,583.028815572
17,1383688265.59,579.487917738
18,1383688278.62,589.539025745
19,1383688294.68,584.988235708
20,1383688310.71,583.468655623
21,1383688323.3,583.205973818
22,1383688339.45,588.511152299
23,1383688355.49,582.67127224
24,1383688371.54,596.679825847
25,1383688383.58,588.402366761
26,1383688399.65,588.228429451
27,1383688412.42,584.296137414
28,1383688428.51,577.556022848
29,1383688444.54,572.333780335
31,1383688472.16,574.466994601
32,1383688488.47,576.74226089
33,1383688506.22,581.238297941
34,1383688518.23,579.032328762
35,1383688534.3,576.887017707
36,1383688546.36,576.014653043
37,1383688566.43,577.183129263
38,1383688579.32,582.137217566
39,1383688595.38,582.292117291
40,1383688611.43,579.556919094
42,1383688641.52,578.84750416
43,1383688653.56,564.851396953
44,1383688655.56,570.315163136
44,1383688668.53,559.602715343
45,1383688684.71,567.119977289
46,1383688685.7,567.119977289
46,1383688699.47,577.946181636
47,1383688712.04,572.581732839
48,1383688728.33,575.057699466
50,1383688756.03,569.521928147
52,1383688788.12,570.327409813
53,1383688807.2,571.156537493
54,1383688822.24,566.433728631
55,1383688835.3,569.464721074
56,1383688847.42,574.915274287
58,1383688882.5,575.577695844
59,1383688894.53,572.190435025
60,1383688899.88,572.191217144
60,1383688910.45,571.817522469
61,1383688926.48,573.019600914
62,1383688938.53,572.711858603
63,1383688957.6,572.421719469
64,1383688969.63,574.050036347
65,1383688985.67,575.174059953
67,1383689017.15,577.715190352
68,1383689026.03,577.715190352
69,1383689042.91,576.551833263
70,1383689058.96,574.524080216
71,1383689075.0,572.630321974
72,1383689087.66,571.869454519
73,1383689104.23,572.058853658
74,1383689116.91,570.934951674
75,1383689138.03,573.381489072
76,1383689150.05,572.276459198
77,1383689163.02,574.096746987
78,1383689179.07,574.117625261
79,1383689195.9,574.293011571
80,1383689211.97,573.488828375
81,1383689224.25,572.972756987
82,1383689237.08,574.179224443
84,1383689268.98,573.643741217
85,1383689281.76,572.323540235
86,1383689298.75,572.737800895
87,1383689314.81,573.485422616
88,1383689327.14,574.105654981
89,1383689343.41,573.562795365
90,1383689359.46,573.424820367
91,1383689375.51,574.206544397
92,1383689387.54,573.477057284
93,1383689403.58,573.97713484
94,1383689416.27,573.58523538
95,1383689432.31,574.425134709
96,1383689448.36,573.412749477
97,1383689464.4,572.857839778
98,1383689476.43,573.246806097
99,1383689493.23,573.28020137
