epoch,time,state
1,1382485743.0,753
1,1382485746.0,601
2,1382485755.57,578
3,1382485778.63,533
4,1382485786.99,544
5,1382485792.68,506
5,1382485804.71,482
6,1382485817.68,456
7,1382485833.73,456
8,1382485850.27,449
9,1382485866.31,447
10,1382485878.67,448
11,1382485893.4,449
11,1382485897.4,452
12,1382485909.45,453
13,1382485922.39,453
14,1382485938.94,453
15,1382485954.98,454
16,1382485965.47,455
16,1382485969.47,455
17,1382485981.53,455
18,1382486000.27,455
19,1382486012.3,457
20,1382486029.34,456
21,1382486044.38,456
21,1382486044.38,456
22,1382486056.41,456
23,1382486072.49,456
25,1382486103.56,455
26,1382486119.62,455
27,1382486131.66,454
28,1382486148.59,452
29,1382486163.63,452
30,1382486163.63,452
30,1382486178.67,452
31,1382486195.66,450
32,1382486208.71,448
33,1382486224.8,448
34,1382486240.86,447
35,1382486253.34,447
36,1382486257.35,447
36,1382486269.39,446
37,1382486282.35,446
38,1382486286.37,446
38,1382486298.41,445
39,1382486311.14,444
40,1382486315.15,444
40,1382486327.85,443
41,1382486346.46,441
42,1382486355.09,441
43,1382486359.1,441
43,1382486371.3,441
44,1382486387.37,441
45,1382486395.39,440
45,1382486406.43,440
46,1382486420.81,439
47,1382486432.84,439
48,1382486451.91,439
49,1382486460.83,438
50,1382486479.89,438
52,1382486507.43,437
53,1382486511.62,437
53,1382486523.66,436
54,1382486536.59,435
55,1382486552.64,434
56,1382486565.23,433
57,1382486585.84,432
58,1382486600.25,431
59,1382486612.32,431
60,1382486631.38,431
60,1382486631.39,431
61,1382486640.24,431
61,1382486644.26,431
62,1382486660.3,430
63,1382486672.34,429
64,1382486688.38,429
65,1382486700.41,428
66,1382486720.46,428
67,1382486735.49,428
67,1382486735.49,428
68,1382486747.55,428
69,1382486760.22,428
70,1382486780.85,428
71,1382486793.46,428
72,1382486808.5,428
72,1382486808.5,428
73,1382486820.55,428
74,1382486837.21,428
75,1382486853.38,428
76,1382486868.08,428
76,1382486872.09,428
77,1382486884.13,428
78,1382486900.18,428
79,1382486912.23,428
80,1382486916.24,428
80,1382486928.67,428
81,1382486940.7,428
84,1382486990.4,428
85,1382487006.46,428
86,1382487018.5,428
87,1382487031.28,428
88,1382487047.34,428
89,1382487065.16,428
90,1382487077.21,428
91,1382487093.78,428
92,1382487106.79,428
93,1382487125.88,428
94,1382487125.88,428
94,1382487140.92,428
95,1382487153.8,428
96,1382487166.6,428
97,1382487182.89,428
98,1382487195.46,428
