epoch,time,state
1,1382482715.96,339
2,1382482732.84,355
3,1382482745.84,372
4,1382482758.2,372
5,1382482774.26,400
6,1382482793.31,414
7,1382482806.22,419
8,1382482823.17,427
9,1382482835.22,425
10,1382482851.26,430
11,1382482864.3,432
12,1382482880.57,441
13,1382482892.61,441
14,1382482912.66,438
15,1382482924.72,440
16,1382482940.76,437
17,1382482956.81,436
18,1382482969.05,436
19,1382482985.33,436
20,1382483001.97,435
21,1382483014.0,435
22,1382483018.01,435
22,1382483033.05,435
23,1382483045.08,435
24,1382483061.47,434
25,1382483076.52,434
26,1382483076.52,434
27,1382483104.61,434
28,1382483120.65,433
29,1382483136.69,433
30,1382483140.71,433
30,1382483149.62,433
31,1382483165.67,432
32,1382483181.71,431
33,1382483194.39,430
34,1382483210.91,429
36,1382483238.38,429
37,1382483254.69,429
38,1382483270.83,429
39,1382483283.88,429
40,1382483299.92,429
41,1382483312.48,429
42,1382483329.05,429
43,1382483346.01,429
45,1382483374.06,429
48,1382483422.88,429
49,1382483437.91,429
51,1382483465.0,429
52,1382483484.08,429
53,1382483492.72,429
54,1382483512.78,429
55,1382483528.82,429
56,1382483540.86,429
57,1382483556.9,429
58,1382483569.6,429
59,1382483585.65,429
60,1382483598.45,429
61,1382483614.98,429
62,1382483634.05,429
63,1382483642.24,429
64,1382483658.86,429
65,1382483674.93,429
66,1382483687.63,429
67,1382483704.62,429
68,1382483717.61,429
69,1382483737.67,429
70,1382483750.15,429
71,1382483766.2,429
72,1382483778.23,429
73,1382483792.5,429
73,1382483796.52,429
76,1382483839.99,429
77,1382483852.99,429
78,1382483857.0,429
78,1382483869.29,429
79,1382483885.35,429
80,1382483900.46,429
80,1382483900.46,429
81,1382483913.22,429
82,1382483929.27,429
83,1382483945.31,429
84,1382483957.94,429
86,1382483990.29,429
87,1382484003.04,429
88,1382484023.93,429
89,1382484032.56,429
91,1382484065.33,429
92,1382484081.38,429
94,1382484108.48,429
95,1382484125.16,429
96,1382484137.49,429
97,1382484153.66,429
98,1382484157.69,429
98,1382484169.72,429
99,1382484185.76,429
