epoch,time,state
1,1382488704.98,308
2,1382488724.06,299
3,1382488724.06,294
3,1382488739.11,275
4,1382488751.14,275
5,1382488763.91,272
6,1382488780.91,276
7,1382488793.04,265
8,1382488813.1,262
9,1382488828.14,262
10,1382488840.16,286
11,1382488856.3,278
12,1382488872.33,276
13,1382488887.78,277
15,1382488917.8,285
16,1382488932.83,282
17,1382488944.89,280
18,1382488963.97,301
19,1382488975.99,295
20,1382488988.03,292
20,1382488992.04,292
21,1382489004.28,292
21,1382489008.56,319
22,1382489020.6,310
23,1382489038.0,307
24,1382489053.04,306
25,1382489068.08,330
27,1382489098.17,323
28,1382489113.2,322
29,1382489128.6,338
29,1382489128.6,330
30,1382489143.35,350
31,1382489158.38,348
33,1382489188.47,357
33,1382489188.47,358
34,1382489203.5,357
35,1382489218.54,352
37,1382489248.64,348
38,1382489261.66,355
39,1382489273.7,355
39,1382489277.73,350
40,1382489292.78,350
41,1382489307.83,347
42,1382489322.88,345
43,1382489337.92,356
45,1382489368.72,362
46,1382489368.72,357
46,1382489383.05,354
47,1382489398.03,367
48,1382489410.05,360
49,1382489422.82,367
50,1382489438.88,368
51,1382489457.93,364
51,1382489457.93,362
53,1382489488.01,362
54,1382489503.02,370
55,1382489518.05,370
56,1382489518.05,370
57,1382489548.14,367
58,1382489548.14,367
58,1382489563.19,367
59,1382489563.19,367
59,1382489578.22,366
60,1382489593.25,366
63,1382489638.37,377
64,1382489651.26,375
65,1382489670.31,380
66,1382489682.35,383
67,1382489698.4,385
68,1382489713.45,385
69,1382489713.45,385
69,1382489726.45,383
70,1382489741.85,383
72,1382489768.93,386
74,1382489803.05,384
75,1382489818.65,387
76,1382489818.65,389
76,1382489833.68,388
77,1382489848.72,391
78,1382489863.75,390
79,1382489863.75,389
79,1382489878.25,389
82,1382489923.39,388
83,1382489923.39,388
84,1382489953.47,390
85,1382489968.53,392
86,1382489968.53,393
86,1382489981.33,391
87,1382489997.85,393
88,1382490012.89,393
89,1382490027.93,394
89,1382490027.93,394
91,1382490058.01,394
92,1382490073.08,393
93,1382490088.12,392
93,1382490088.12,392
94,1382490103.13,393
95,1382490112.12,394
96,1382490133.18,397
97,1382490145.2,395
98,1382490157.29,394
99,1382490161.31,394
